Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,1500,846,15518,2042.97,0.000%,6.13422,28.13,1.57,4696.0
TOTAL,100,1500,846,15518,2042.97,0.000%,6.13422,28.13,1.57,4696.0
